"X1","X2","X3","X4"
"MON","http://www.google.com/finance?q=MON","Monsanto Company","0.304730"
"MET","http://www.google.com/finance?q=MET","MetLife Inc.","0.300673"
"DOW","http://www.google.com/finance?q=DOW","Dow Chemical Company","0.299921"
"DUK","http://www.google.com/finance?q=DUK","Duke Energy Corporation","0.296423"
"EOG","http://www.google.com/finance?q=EOG","EOG Resources Inc.","0.285290"
"MCK","http://www.google.com/finance?q=MCK","McKesson Corporation","0.283214"
"EMC","http://www.google.com/finance?q=EMC","EMC Corporation","0.283089"
"LMT","http://www.google.com/finance?q=LMT","Lockheed Martin Corporation","0.278483"
"TGT","http://www.google.com/finance?q=TGT","Target Corporation","0.277013"
"CAT","http://www.google.com/finance?q=CAT","Caterpillar Inc.","0.276038"
"DHR","http://www.google.com/finance?q=DHR","Danaher Corporation","0.273139"
"KRFT","http://www.google.com/finance?q=KRFT","Kraft Foods Group Inc.","0.270388"
"TMO","http://www.google.com/finance?q=TMO","Thermo Fisher Scientific Inc.","0.270343"
"GM","http://www.google.com/finance?q=GM","General Motors Company","0.258137"
"PNC","http://www.google.com/finance?q=PNC","PNC Financial Services Group Inc.","0.253185"
"BLK","http://www.google.com/finance?q=BLK","BlackRock Inc.","0.253101"
"APC","http://www.google.com/finance?q=APC","Anadarko Petroleum Corporation","0.252324"
"BK","http://www.google.com/finance?q=BK","Bank of New York Mellon Corporation","0.250313"
"NEE","http://www.google.com/finance?q=NEE","NextEra Energy Inc.","0.246425"
"DTV","http://www.google.com/finance?q=DTV","DIRECTV","0.242737"
"COF","http://www.google.com/finance?q=COF","Capital One Financial Corporation","0.239023"
"TJX","http://www.google.com/finance?q=TJX","TJX Companies Inc.","0.238719"
"FDX","http://www.google.com/finance?q=FDX","FedEx Corporation","0.237933"
"PSX","http://www.google.com/finance?q=PSX","Phillips 66","0.235968"
"TWC","http://www.google.com/finance?q=TWC","Time Warner Cable Inc.","0.234390"
"D","http://www.google.com/finance?q=D","Dominion Resources Inc.","0.228464"
"GD","http://www.google.com/finance?q=GD","General Dynamics Corporation","0.224674"
"HAL","http://www.google.com/finance?q=HAL","Halliburton Company","0.219722"
"CRM","http://www.google.com/finance?q=CRM","salesforce.com inc.","0.219679"
"LYB","http://www.google.com/finance?q=LYB","LyondellBasell Industries NV","0.219664"
"KMB","http://www.google.com/finance?q=KMB","Kimberly-Clark Corporation","0.218248"
"SO","http://www.google.com/finance?q=SO","Southern Company","0.215858"
"ANTM","http://www.google.com/finance?q=ANTM","Anthem Inc.","0.215791"
"ADP","http://www.google.com/finance?q=ADP","Automatic Data Processing Inc.","0.215485"
"AMT","http://www.google.com/finance?q=AMT","American Tower Corporation","0.215341"
